Num	Radius	R_e+	R_e-	E1	E1_e+	E1_e-	E2	E2_e+	E2_e+	ratio	r_e+	r_e-
1	221.1	11	12.3	8.3	0.76	0.88	9.67	1.14	1.12	0.86	0.08	0.07
2	268.5	22.1	20.7	4.92	0.77	0.7	4.19	0.82	0.7	1.17	0.16	0.15
3	138.4	12.7	11.9	3.03	0.53	0.49	2.61	0.59	0.49	1.16	0.2	0.18
4	714.3	23.5	34.5	49.61	3.15	3.19	60.62	4.84	6.13	0.82	0.06	0.05
5	182.3	18.5	15.1	2.75	0.49	0.43	3.3	0.81	0.61	0.83	0.14	0.14
6	72.1	5.5	5.7	1.01	0.23	0.2	0.86	0.14	0.13	1.17	0.24	0.21
7	120.3	8.6	7.5	5.04	0.66	0.57	3.8	0.72	0.57	1.33	0.16	0.15
8	196.2	15.1	15.5	5.18	0.73	0.7	6	1.17	1.11	0.86	0.14	0.11
9	265.7	8.7	8.6	12.17	1.22	1.17	10.56	0.93	0.95	1.14	0.13	0.1
10	200	9.6	10.7	7.74	0.57	0.58	6.26	0.78	0.83	1.24	0.14	0.11
11	78.8	5.6	5.1	1.08	0.16	0.15	0.73	0.11	0.1	1.49	0.26	0.24
12	454.4	20.3	20.3	17.1	2.64	2.03	23.12	2.36	2.32	0.75	0.07	0.06
13	109.4	8.3	8.3	3.31	0.34	0.34	3.06	0.54	0.52	1.09	0.18	0.15
14	156.5	11.5	10.2	2.36	0.61	0.58	2.31	0.36	0.31	1.02	0.26	0.23
15	218	6.6	5.9	14.02	0.75	0.75	21.59	1.82	1.82	0.65	0.04	0.04
16	370.7	7.6	8	31.41	1.56	1.56	29.67	1.56	1.57	1.06	0.06	0.06
17	189.1	16.4	15.4	2.15	0.45	0.39	2.52	0.57	0.51	0.86	0.22	0.18
18	150.5	4.2	4.6	3.39	0.57	0.5	4.75	0.44	0.46	0.72	0.11	0.11
19	326.7	12.1	9.9	15.73	1.43	1.3	18.03	1.54	1.26	0.87	0.06	0.06
20	189.1	9.9	9.1	5.04	0.65	0.55	4.61	0.61	0.5	1.09	0.12	0.12
21	147.7	8	11.1	2.53	0.29	0.3	2.76	0.37	0.48	0.93	0.12	0.1
22	504.6	12.5	11.2	44.97	2.99	2.74	43.93	3.08	2.59	1.02	0.05	0.05
23	170.5	8.6	8.1	3.89	0.3	0.29	3.93	0.49	0.42	0.98	0.1	0.09
24	297.6	13.1	13.6	10.78	1.04	1.02	10.48	1.34	1.22	1.04	0.1	0.11
25	256.2	13.4	14.4	7.27	0.81	0.77	7.37	0.97	0.95	0.99	0.09	0.09
